|state_code|county_code|site_number|parameter_code|poc|parameter_name|open_date|close_date|concurred_exclusions|dominant_source|measurement_scale|measurement_scale_def|monitoring_objective|last_method_code|last_method_description|last_method_begin_date|naaqs_primary_monitor|qa_primary_monitor|monitor_type|networks|monitoring_agency_code|monitoring_agency|si_id|latitude|longitude|datum|lat_lon_accuracy|elevation|probe_height|pl_probe_location|local_site_name|address|state_name|county_name|city_name|cbsa_code|cbsa_name|csa_code|csa_name|tribal_code|tribe_name
0|01|073|0023|88101|1|PM2.5 - Local Conditions|1999-01-01|||POINT|NEIGHBORHOOD|500 M TO 4KM|HIGHEST CONCENTRATION; POPULATION EXPOSURE|142|BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric|2013-01-01||Y|SLAMS|NCORE|0550|Jefferson County, AL  Department Of Health|159|33.553056|-86.815|WGS84|15.0|177.0|5.0|OTHER|North Birmingham|NO. B'HAM,SOU R.R., 3009 28TH ST. NO.|Alabama|Jefferson|Birmingham|13820|Birmingham-Hoover, AL|142|Birmingham-Hoover-Talladega, AL||
1|01|073|0023|88101|3|PM2.5 - Local Conditions|1999-01-01|||POINT|NEIGHBORHOOD|500 M TO 4KM|HIGHEST CONCENTRATION; POPULATION EXPOSURE|238|Teledyne T640X at 16.67 LPM - Broadband spectroscopy|2018-12-07|Y|Y|SLAMS|NCORE|0550|Jefferson County, AL  Department Of Health|159|33.553056|-86.815|WGS84|15.0|177.0|5.0|OTHER|North Birmingham|NO. B'HAM,SOU R.R., 3009 28TH ST. NO.|Alabama|Jefferson|Birmingham|13820|Birmingham-Hoover, AL|142|Birmingham-Hoover-Talladega, AL||
2|01|073|0023|88101|2|PM2.5 - Local Conditions|1999-01-01|2019-12-31||AREA|NEIGHBORHOOD|500 M TO 4KM|HIGHEST CONCENTRATION|142|BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric|2013-01-04|||SLAMS|NCORE|0550|Jefferson County, AL  Department Of Health|159|33.553056|-86.815|WGS84|15.0|177.0||TOP OF BUILDING|North Birmingham|NO. B'HAM,SOU R.R., 3009 28TH ST. NO.|Alabama|Jefferson|Birmingham|13820|Birmingham-Hoover, AL|142|Birmingham-Hoover-Talladega, AL||
3|01|073|2059|88101|1|PM2.5 - Local Conditions|2014-01-01|||POINT|NEIGHBORHOOD|500 M TO 4KM|OTHER|142|BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric|2014-01-01|Y||SLAMS|NEAR ROAD|0550|Jefferson County, AL  Department Of Health|97516|33.521427|-86.844112|WGS84|3.0|183.726||POLE|Arkadelphia/Near Road|1110 5th Street West Birmingham, AL 35204|Alabama|Jefferson|Birmingham|13820|Birmingham-Hoover, AL|142|Birmingham-Hoover-Talladega, AL||
4|01|121|0002|88101|1|PM2.5 - Local Conditions|1999-01-01|2017-12-31||AREA|NEIGHBORHOOD|500 M TO 4KM|HIGHEST CONCENTRATION|145|R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric|2016-07-01|||||0013|Al Dept Of Env Mgt|326|33.27947|-86.349438|NAD83|0.0|142.0|||CHILDERSBURG|300 1ST ST. SOUTHEAST|Alabama|Talladega|Childersburg|45180|Talladega-Sylacauga, AL|142|Birmingham-Hoover-Talladega, AL||
5|01|103|0011|88101|1|PM2.5 - Local Conditions|2001-08-07|||AREA|MIDDLE SCALE|100 M TO 500 M|POPULATION EXPOSURE|145|R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric|2016-07-01|Y||SLAMS||0013|Al Dept Of Env Mgt|309|34.530717|-86.967536|NAD83|4.0|173.74||GROUND LEVEL SUPPORT|DECATUR, Alabama|P.O. BOX 2224 WALLACE DEVELOPMENT CENTER. DECATUR, ALABAMA|Alabama|Morgan|Decatur|19460|Decatur, AL|290|Huntsville-Decatur-Albertville, AL||
6|01|089|0014|88101|2|PM2.5 - Local Conditions|2015-01-01|||AREA|URBAN SCALE|4 KM TO 50 KM|POPULATION EXPOSURE|145|R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric|2015-01-01|||SLAMS||0300|City of Huntsville, Div of Natural Resources|233|34.687761|-86.586362|WGS84|0.0|183.0|4.0|TOP OF BUILDING|HUNTSVILLE OLD AIRPORT|2165 AIRPORT ROAD SW|Alabama|Madison|Huntsville|26620|Huntsville, AL|290|Huntsville-Decatur-Albertville, AL||
7|01|033|1002|88101|1|PM2.5 - Local Conditions|1999-01-01|2019-08-23||AREA|NEIGHBORHOOD|500 M TO 4KM|HIGHEST CONCENTRATION|145|R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric|2016-07-01|||||0013|Al Dept Of Env Mgt|53|34.762619|-87.638097|NAD83|0.0|122.0|||MUSCLE SHOALS|WILSON DAM RD AND 2ND ST.|Alabama|Colbert|Muscle Shoals|22520|Florence-Muscle Shoals, AL||||
8|01|049|1003|88101|1|PM2.5 - Local Conditions|1999-01-01|||AREA|NEIGHBORHOOD|500 M TO 4KM|GENERAL/BACKGROUND|145|R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric|2016-07-01|Y||SLAMS||0013|Al Dept Of Env Mgt|73|34.288567|-85.969858|NAD83|1.09|500.0|||CROSSVILLE|13112 HWY.68 , CROSSVILLE AL. 35962|Alabama|DeKalb|Crossville|22840|Fort Payne, AL||||
9|01|055|0010|88101|1|PM2.5 - Local Conditions|2000-01-01|||AREA|URBAN SCALE|4 KM TO 50 KM|POPULATION EXPOSURE|145|R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric|2016-07-01|Y|Y|SLAMS||0013|Al Dept Of Env Mgt|84|33.991494|-85.992647|NAD83|1.09|50.0||GROUND LEVEL SUPPORT|GADSDEN C. COLLEGE|1001 WALLACE DRIVE, GADSDEN, AL 35902|Alabama|Etowah|Gadsden|23460|Gadsden, AL||||
